,accuracy,precision,recall,f1,roc_auc
SVM,0.938790837401427,0.9280663252865154,0.9515,0.9396370818417479,0.9842270305841064
Logistic Regression,0.9304043059206408,0.9233038348082596,0.939,0.9310857709469509,0.9823143645023815
Random Forest,0.918012266866942,0.9027209246327955,0.93725,0.9196614743039372,0.97703644397092
